RTClock[time],Tamb[°C],rHamb[%],Tcool[°C],rHcool[%],Tin[°C],rHin[%],Thermero[°C],IRcamera[°C],Tout[°C],rHout[%],CO2in[ppm],CO2out[ppm],NH3in,NH3out,Flow[L/min],Scale[g]
2000_1_1_0_0_0,24.19,27.32,23.97,27.42,23.92,27.65,23.6,25.08,24.16,26.75,604.95,362.98,,,13.92,3420.59
2000_1_1_0_0_0,24.09,27.3,24.02,27.01,23.92,27.27,23.61,24.93,24.27,26.46,606.43,371.1,,,15.92,3421.42
2000_1_1_0_0_0,23.96,26.97,24.07,26.38,23.92,26.79,23.61,25.04,24.33,26.13,606.45,369.66,,,15.52,3420.59
2000_1_1_0_0_0,23.83,27.35,24.11,26.56,23.93,27.0,23.63,24.98,24.39,26.01,600.57,367.89,,,16.23,3421.37
2000_1_1_0_0_0,23.77,27.66,24.14,26.67,23.94,27.08,23.64,25.09,24.43,26.08,598.99,370.78,,,11.39,3421.15
