RTClock[time],CO2in[ppm],CO2out[ppm],Tout[°C],rHout[%],Tin[°C],rHin[%],Tamb[°C],rHamb[%],Tcool[°C],rHcool[%],Flow[L/min],NH3in,NH3out,Scale[g],IRcamera[°C],Thermero[°C]
2023_6_9_18_51_8,605.08,370.24,25.78,33.55,25.92,33.64,26.01,33.41,26.11,32.86,0.0,,,3440.62,25.79,23.04
2023_6_9_18_51_31,607.98,368.28,25.79,33.72,25.9,33.65,26.0,33.58,26.1,32.91,0.5,,,3440.31,25.82,23.05
2023_6_9_18_51_55,608.28,371.6,25.81,33.77,25.9,33.9,25.99,33.54,26.1,32.92,1.18,,,3440.28,25.7,23.06
2023_6_9_18_52_18,609.52,371.91,25.79,33.65,25.9,33.91,26.02,33.62,26.12,32.94,0.0,,,3440.37,25.97,23.07
2023_6_9_18_52_41,608.11,370.72,25.8,33.63,25.91,33.92,26.02,33.54,26.13,32.91,0.0,,,3440.31,25.93,23.07
2023_6_9_18_53_5,605.2,371.29,25.81,33.76,25.91,33.92,26.04,33.5,26.12,32.93,0.0,,,3440.08,25.81,23.07
2023_6_9_18_53_28,602.43,369.76,25.81,33.36,25.91,33.93,26.05,33.39,26.13,32.94,0.0,,,3439.84,26.0,23.08
