Time,A1[°C],A2[°C],A3[°C],A4[°C],A5[°C],B1[°C],B2[°C],B3[°C],B4[°C],B5[°C],C1[°C],C2[°C],C3[°C],C4[°C],C5[°C],D1[°C],D2[°C],D3[°C],D4[°C],D5[°C]
2000_1_1_0_0_0,23.56,23.62,23.62,23.69,23.5,23.69,23.56,23.69,23.5,23.62,23.62,23.56,23.75,23.56,23.56,23.62,23.56,23.56,23.56,23.62
2000_1_1_0_0_0,23.56,23.62,23.62,23.69,23.5,23.62,23.56,23.69,23.56,23.62,23.62,23.56,23.75,23.56,23.56,23.69,23.56,23.56,23.62,23.62
2000_1_1_0_0_0,23.56,23.62,23.62,23.69,23.5,23.62,23.56,23.69,23.56,23.69,23.62,23.56,23.75,23.56,23.56,23.69,23.62,23.56,23.62,23.62
2000_1_1_0_0_0,23.56,23.69,23.69,23.69,23.5,23.69,23.56,23.75,23.56,23.69,23.69,23.62,23.75,23.56,23.56,23.62,23.62,23.56,23.62,23.62
2000_1_1_0_0_0,23.62,23.62,23.62,23.69,23.56,23.69,23.56,23.75,23.56,23.69,23.62,23.62,23.75,23.62,23.56,23.69,23.62,23.62,23.62,23.62
