RTClock[time],CO2in[ppm],CO2out[ppm],Tout[°C],rHout[%],Tin[°C],rHin[%],Tamb[°C],rHamb[%],Tcool[°C],rHcool[%],Flow[L/min],NH3in,NH3out,Scale[g],IRcamera[°C],Thermero
2023_6_9_18_15_13,614.05,385.76,25.93,35.04,26.03,34.24,26.06,34.44,26.07,33.89,0,,,3445.52,25.24,
2023_6_9_18_15_20,621.7,387.18,25.85,35.04,25.94,34.44,26.02,34.57,26.09,33.9,0,,,3444.51,25.18,
2023_6_9_18_15_28,621.79,388.58,25.86,35.1,25.93,34.62,25.99,34.56,26.1,33.96,0,,,3440.06,25.23,
2023_6_9_18_15_36,617.41,386.81,25.84,35.04,25.91,34.86,25.99,34.51,26.09,33.95,0,,,3444.65,25.2,
2023_6_9_18_15_43,613.66,388.0,25.85,35.03,25.92,35.03,25.98,34.54,26.08,33.97,0,,,3444.72,25.41,
