Time,A1 [°C],A2 [°C],A3 [°C],A4 [°C],A5 [°C],B1 [°C],B2 [°C],B3 [°C],B4 [°C],B5 [°C],C1 [°C],C2 [°C],C3 [°C],C4 [°C],C5 [°C],D1 [°C],D2 [°C],D3 [°C],D4 [°C],D5 [°C]
2023_6_9_18_51_8,23.5,23.19,23.31,23.06,23.19,23.44,23.19,23.44,21.5,23.56,23.31,23.31,22.12,23.31,22.81,22.5,23.56,22.25,23.31,23.0
2023_6_9_18_51_31,23.5,23.19,23.38,23.06,23.19,23.5,23.25,23.44,21.56,23.5,23.25,23.31,22.12,23.31,22.81,22.5,23.56,22.25,23.31,22.94
2023_6_9_18_51_55,23.5,23.19,23.38,23.06,23.19,23.5,23.25,23.44,21.56,23.5,23.31,23.38,22.12,23.38,22.88,22.5,23.56,22.25,23.31,23.0
2023_6_9_18_52_18,23.5,23.19,23.38,23.06,23.19,23.44,23.25,23.44,21.62,23.5,23.31,23.38,22.19,23.38,22.88,22.5,23.56,22.25,23.31,23.0
2023_6_9_18_52_41,23.5,23.19,23.38,23.06,23.25,23.44,23.25,23.44,21.69,23.5,23.25,23.38,22.12,23.38,22.88,22.5,23.56,22.31,23.31,23.0
2023_6_9_18_53_5,23.5,23.19,23.38,23.06,23.25,23.5,23.25,23.38,21.69,23.5,23.31,23.38,22.12,23.38,22.88,22.56,23.5,22.31,23.31,23.0
2023_6_9_18_53_28,23.44,23.19,23.38,23.06,23.25,23.5,23.25,23.38,21.69,23.5,23.25,23.38,22.19,23.44,22.88,22.56,23.56,22.31,23.31,23.0
