Time,A1[°C],A2[°C],A3[°C],A4[°C],A5[°C],B1[°C],B2[°C],B3[°C],B4[°C],B5[°C],C1[°C],C2[°C],C3[°C],C4[°C],C5[°C],D1[°C],D2[°C],D3[°C],D4[°C],D5[°C]
2023_6_14_14_12_39,24.5,24.56,24.5,24.62,24.38,24.56,24.44,24.62,24.38,24.56,24.56,24.56,24.69,24.56,24.44,24.56,24.5,24.5,24.56,24.5
2023_6_14_14_14_3,24.56,24.62,24.56,24.69,24.44,24.62,24.5,24.69,24.44,24.62,24.62,24.56,24.75,24.56,24.5,24.62,24.5,24.5,24.62,24.56
2023_6_14_14_15_27,24.62,24.69,24.56,24.75,24.5,24.69,24.56,24.75,24.5,24.69,24.69,24.62,24.81,24.62,24.56,24.62,24.56,24.56,24.69,24.62
2023_6_14_14_16_51,24.69,24.75,24.62,24.75,24.56,24.75,24.62,24.75,24.56,24.75,24.75,24.69,24.81,24.69,24.62,24.69,24.62,24.62,24.75,24.62
2023_6_14_14_18_14,24.69,24.81,24.69,24.81,24.56,24.75,24.69,24.81,24.56,24.81,24.81,24.75,24.88,24.75,24.62,24.75,24.69,24.69,24.81,24.69
2023_6_14_14_19_38,24.75,24.88,24.75,24.88,24.62,24.81,24.69,24.88,24.62,24.81,24.81,24.75,24.94,24.81,24.69,24.81,24.75,24.75,24.81,24.75
2023_6_14_14_21_2,24.81,24.88,24.75,24.94,24.69,24.88,24.75,24.94,24.69,24.88,24.88,24.81,25.0,24.81,24.75,24.88,24.75,24.75,24.88,24.81
2023_6_14_14_22_26,24.88,24.94,24.81,25.0,24.75,24.94,24.81,25.0,24.75,24.94,24.94,24.88,25.06,24.88,24.81,24.88,24.81,24.81,24.94,24.81
2023_6_14_14_23_51,24.88,25.0,24.88,25.0,24.75,24.94,24.81,25.0,24.81,24.94,25.0,24.94,25.12,24.94,24.81,24.94,24.88,24.88,25.0,24.88
2023_6_14_14_25_15,24.94,25.06,24.94,25.06,24.81,25.0,24.94,25.06,24.81,25.0,25.0,25.0,25.12,25.0,24.94,25.0,24.94,24.94,25.06,24.94
2023_6_14_14_26_39,25.0,25.12,25.0,25.12,24.88,25.06,24.94,25.12,24.88,25.06,25.06,25.06,25.19,25.06,24.94,25.06,24.94,25.0,25.06,25.0
2023_6_14_14_28_2,25.06,25.12,25.06,25.19,24.94,25.12,25.0,25.19,24.94,25.12,25.12,25.06,25.25,25.12,25.0,25.06,25.0,25.0,25.12,25.0
2023_6_14_14_29_26,25.12,25.19,25.12,25.25,24.94,25.12,25.06,25.19,25.0,25.19,25.19,25.12,25.31,25.12,25.06,25.12,25.06,25.06,25.19,25.06
2023_6_14_14_30_49,25.19,25.25,25.12,25.31,25.0,25.25,25.12,25.25,25.0,25.25,25.25,25.19,25.38,25.19,25.12,25.19,25.12,25.12,25.25,25.12
2023_6_14_14_32_13,25.19,25.31,25.19,25.31,25.06,25.25,25.12,25.31,25.06,25.31,25.31,25.25,25.38,25.25,25.19,25.19,25.12,25.12,25.31,25.12
2023_6_14_14_33_37,25.25,25.38,25.19,25.38,25.12,25.31,25.19,25.38,25.12,25.31,25.31,25.31,25.44,25.31,25.19,25.25,25.19,25.19,25.38,25.19
2023_6_14_14_35_1,25.25,25.38,25.31,25.44,25.12,25.38,25.25,25.44,25.19,25.38,25.38,25.31,25.5,25.38,25.25,25.31,25.25,25.25,25.38,25.25
2023_6_14_14_36_24,25.38,25.44,25.31,25.5,25.19,25.38,25.25,25.44,25.19,25.44,25.44,25.38,25.56,25.38,25.31,25.38,25.31,25.31,25.44,25.31
2023_6_14_14_37_48,25.38,25.5,25.38,25.5,25.25,25.44,25.31,25.5,25.25,25.5,25.5,25.44,25.56,25.44,25.31,25.38,25.38,25.31,25.44,25.31
2023_6_14_14_39_13,25.44,25.56,25.44,25.56,25.31,25.5,25.38,25.56,25.31,25.5,25.5,25.5,25.62,25.5,25.38,25.5,25.38,25.38,25.56,25.44
2023_6_14_14_40_37,25.5,25.62,25.44,25.62,25.38,25.56,25.44,25.62,25.38,25.56,25.56,25.56,25.69,25.56,25.44,25.5,25.44,25.44,25.56,25.44
2023_6_14_14_42_1,25.5,25.69,25.5,25.69,25.38,25.56,25.5,25.69,25.38,25.62,25.62,25.56,25.75,25.56,25.5,25.56,25.5,25.5,25.62,25.5
2023_6_14_14_43_24,25.56,25.69,25.56,25.75,25.44,25.62,25.56,25.69,25.44,25.69,25.69,25.62,25.81,25.62,25.56,25.62,25.56,25.5,25.69,25.56
2023_6_14_14_44_49,25.62,25.75,25.62,25.75,25.5,25.69,25.56,25.75,25.5,25.69,25.69,25.62,25.88,25.69,25.62,25.62,25.56,25.56,25.69,25.62
2023_6_14_14_46_13,25.69,25.81,25.69,25.81,25.5,25.75,25.62,25.81,25.56,25.75,25.75,25.69,25.88,25.75,25.62,25.69,25.62,25.62,25.75,25.62
2023_6_14_14_47_37,25.69,25.81,25.69,25.88,25.56,25.75,25.62,25.81,25.62,25.81,25.81,25.75,25.94,25.75,25.69,25.75,25.69,25.69,25.81,25.69
2023_6_14_14_49_0,25.75,25.88,25.75,25.94,25.62,25.81,25.69,25.88,25.62,25.88,25.81,25.81,25.94,25.81,25.75,25.75,25.69,25.69,25.81,25.69
2023_6_14_14_50_24,25.81,25.94,25.81,25.94,25.69,25.88,25.75,25.94,25.69,25.88,25.88,25.81,26.0,25.88,25.75,25.81,25.75,25.75,25.88,25.75
2023_6_14_14_51_47,25.88,25.94,25.81,26.0,25.69,25.94,25.81,26.0,25.75,25.94,25.94,25.88,26.06,25.88,25.81,25.88,25.81,25.81,25.94,25.81
2023_6_14_14_53_11,25.94,26.0,25.88,26.06,25.75,25.94,25.81,26.0,25.75,26.0,26.0,25.94,26.12,25.94,25.81,25.88,25.88,25.88,26.0,25.88
2023_6_14_14_54_36,25.94,26.06,25.94,26.06,25.81,26.0,25.88,26.06,25.81,26.06,26.0,25.94,26.12,26.0,25.94,25.94,25.88,25.88,26.0,25.88
2023_6_14_14_55_59,26.0,26.06,25.94,26.12,25.81,26.06,25.94,26.12,25.81,26.06,26.06,26.0,26.19,26.0,25.94,26.0,25.94,25.94,26.06,25.94
2023_6_14_14_57_21,26.0,26.12,26.0,26.12,25.88,26.06,25.94,26.12,25.88,26.12,26.06,26.06,26.25,26.06,26.0,26.06,26.0,25.94,26.12,26.0
2023_6_14_14_58_45,26.06,26.12,26.06,26.19,25.94,26.12,26.0,26.19,25.94,26.12,26.12,26.06,26.25,26.12,26.06,26.06,26.06,26.0,26.12,26.0
2023_6_14_15_0_8,26.06,26.25,26.06,26.25,25.94,26.12,26.06,26.19,26.0,26.19,26.19,26.12,26.31,26.12,26.06,26.12,26.06,26.06,26.19,26.06
2023_6_14_15_1_32,26.12,26.25,26.12,26.25,26.0,26.19,26.06,26.25,26.06,26.25,26.25,26.19,26.38,26.19,26.12,26.12,26.12,26.12,26.25,26.06
2023_6_14_15_2_55,26.19,26.25,26.19,26.31,26.06,26.25,26.12,26.31,26.06,26.25,26.25,26.19,26.38,26.25,26.12,26.19,26.12,26.12,26.25,26.12
2023_6_14_15_4_19,26.25,26.38,26.19,26.38,26.12,26.25,26.19,26.38,26.12,26.31,26.31,26.25,26.44,26.25,26.19,26.25,26.19,26.12,26.31,26.19
2023_6_14_15_5_42,26.25,26.38,26.25,26.44,26.12,26.31,26.19,26.38,26.12,26.38,26.38,26.31,26.44,26.31,26.25,26.31,26.25,26.19,26.38,26.19
2023_6_14_15_7_6,26.31,26.44,26.31,26.44,26.19,26.38,26.25,26.44,26.19,26.38,26.38,26.31,26.5,26.38,26.31,26.31,26.25,26.25,26.38,26.25
2023_6_14_15_8_31,26.31,26.44,26.38,26.44,26.19,26.38,26.31,26.44,26.25,26.44,26.44,26.38,26.5,26.38,26.31,26.38,26.31,26.25,26.44,26.31
2023_6_14_15_9_55,26.38,26.5,26.38,26.5,26.25,26.44,26.31,26.5,26.25,26.5,26.44,26.38,26.56,26.44,26.38,26.44,26.38,26.31,26.44,26.38
2023_6_14_15_11_19,26.44,26.56,26.44,26.56,26.31,26.5,26.38,26.56,26.31,26.5,26.5,26.44,26.62,26.44,26.38,26.44,26.38,26.38,26.5,26.38
2023_6_14_15_12_42,26.5,26.56,26.5,26.56,26.31,26.5,26.44,26.56,26.31,26.56,26.56,26.5,26.62,26.5,26.44,26.5,26.44,26.44,26.5,26.44
2023_6_14_15_14_6,26.5,26.62,26.5,26.62,26.38,26.56,26.44,26.62,26.38,26.56,26.56,26.5,26.69,26.56,26.5,26.5,26.5,26.44,26.56,26.44
2023_6_14_15_15_31,26.56,26.62,26.56,26.69,26.38,26.62,26.5,26.69,26.44,26.62,26.62,26.56,26.75,26.62,26.5,26.56,26.5,26.5,26.62,26.5
2023_6_14_15_16_54,26.56,26.69,26.56,26.69,26.44,26.62,26.5,26.69,26.5,26.62,26.69,26.62,26.75,26.62,26.56,26.62,26.56,26.5,26.62,26.56
2023_6_14_15_18_19,26.62,26.75,26.62,26.75,26.5,26.69,26.56,26.75,26.5,26.69,26.69,26.62,26.81,26.69,26.62,26.62,26.62,26.56,26.69,26.56
2023_6_14_15_19_42,26.62,26.75,26.69,26.75,26.5,26.69,26.56,26.75,26.56,26.75,26.75,26.69,26.81,26.69,26.62,26.69,26.62,26.62,26.69,26.62
2023_6_14_15_21_5,26.69,26.81,26.69,26.81,26.56,26.75,26.62,26.81,26.56,26.75,26.75,26.69,26.88,26.75,26.69,26.69,26.69,26.62,26.75,26.62
2023_6_14_15_22_28,26.75,26.81,26.75,26.88,26.56,26.81,26.69,26.88,26.62,26.81,26.81,26.75,26.88,26.75,26.69,26.75,26.69,26.69,26.81,26.69
2023_6_14_15_23_49,26.75,26.88,26.75,26.88,26.62,26.81,26.69,26.88,26.69,26.81,26.81,26.75,27.0,26.81,26.75,26.75,26.75,26.69,26.81,26.69
