Time,A1[°C],A2[°C],A3[°C],A4[°C],A5[°C],B1[°C],B2[°C],B3[°C],B4[°C],B5[°C],C1[°C],C2[°C],C3[°C],C4[°C],C5[°C],D1[°C],D2[°C],D3[°C],D4[°C],D5[°C]
2023_6_14_13_58_48,24.06,24.12,24.12,24.12,24.0,24.12,24.06,24.19,24.06,24.12,24.12,24.0,24.19,24.06,24.06,24.12,24.06,24.06,24.06,24.06
2023_6_14_14_0_11,24.06,24.19,24.19,24.19,24.06,24.19,24.06,24.25,24.06,24.19,24.19,24.06,24.25,24.12,24.06,24.12,24.12,24.06,24.12,24.12
2023_6_14_14_1_34,24.12,24.25,24.19,24.19,24.06,24.25,24.12,24.25,24.12,24.19,24.19,24.12,24.25,24.12,24.12,24.19,24.12,24.12,24.12,24.19
2023_6_14_14_2_57,24.19,24.25,24.19,24.25,24.12,24.25,24.12,24.31,24.12,24.25,24.25,24.19,24.31,24.19,24.12,24.25,24.19,24.12,24.19,24.19
2023_6_14_14_4_19,24.19,24.31,24.25,24.31,24.12,24.31,24.19,24.38,24.12,24.31,24.31,24.25,24.38,24.25,24.19,24.25,24.25,24.19,24.25,24.25
2023_6_14_14_5_42,24.25,24.38,24.31,24.38,24.12,24.38,24.25,24.38,24.19,24.31,24.31,24.25,24.44,24.31,24.25,24.31,24.31,24.25,24.31,24.31
2023_6_14_14_7_6,24.31,24.38,24.31,24.44,24.19,24.38,24.31,24.44,24.25,24.38,24.38,24.31,24.5,24.38,24.25,24.38,24.31,24.31,24.38,24.31
2023_6_14_14_8_29,24.38,24.44,24.38,24.44,24.25,24.44,24.31,24.5,24.31,24.44,24.44,24.38,24.5,24.38,24.31,24.44,24.31,24.31,24.44,24.38
2023_6_14_14_9_52,24.44,24.5,24.38,24.5,24.31,24.5,24.38,24.5,24.31,24.5,24.5,24.44,24.56,24.44,24.38,24.44,24.38,24.38,24.5,24.38
2023_6_14_14_11_16,24.44,24.56,24.44,24.56,24.31,24.56,24.44,24.56,24.38,24.5,24.56,24.5,24.62,24.5,24.44,24.5,24.44,24.44,24.5,24.44
