Time,A1[°C],A2[°C],A3[°C],A4[°C],A5[°C],B1[°C],B2[°C],B3[°C],B4[°C],B5[°C],C1[°C],C2[°C],C3[°C],C4[°C],C5[°C],D1[°C],D2[°C],D3[°C],D4[°C],D5[°C]
2023_6_14_16_40_49,25.44,25.44,25.25,25.44,25.12,25.56,25.31,25.62,25.31,25.56,25.38,25.25,25.44,25.44,25.06,25.25,25.31,25.19,25.38,25.25
2023_6_14_16_42_13,25.62,25.56,25.38,25.56,25.25,25.75,25.5,25.81,25.44,25.75,25.56,25.38,25.56,25.56,25.19,25.44,25.44,25.38,25.5,25.44
2023_6_14_16_43_36,25.81,25.69,25.5,25.69,25.38,25.94,25.62,25.94,25.56,25.88,25.69,25.56,25.69,25.69,25.31,25.56,25.56,25.5,25.62,25.56
2023_6_14_16_45_0,26.0,25.81,25.62,25.81,25.56,26.06,25.81,26.12,25.69,26.06,25.88,25.69,25.81,25.88,25.5,25.69,25.69,25.62,25.75,25.69
2023_6_14_16_46_22,26.06,25.94,25.69,25.94,25.69,26.19,25.94,26.25,25.81,26.19,26.0,25.81,25.94,25.94,25.62,25.81,25.81,25.75,25.88,25.88
2023_6_14_16_47_46,26.19,26.0,25.81,26.12,25.81,26.31,26.06,26.38,25.94,26.31,26.12,25.94,26.06,26.12,25.75,25.94,25.94,25.94,26.0,26.0
2023_6_14_16_49_8,26.38,26.12,25.94,26.19,25.94,26.38,26.19,26.44,26.06,26.44,26.25,26.06,26.19,26.19,25.81,26.06,26.06,26.06,26.06,26.12
2023_6_14_16_50_32,26.44,26.25,26.06,26.31,26.06,26.5,26.31,26.56,26.19,26.56,26.38,26.12,26.31,26.38,25.94,26.19,26.12,26.12,26.19,26.25
2023_6_14_16_51_55,26.56,26.38,26.12,26.5,26.19,26.56,26.44,26.62,26.25,26.69,26.5,26.25,26.38,26.44,26.06,26.25,26.25,26.25,26.31,26.31
2023_6_14_16_53_19,26.62,26.44,26.25,26.56,26.25,26.69,26.5,26.75,26.38,26.75,26.56,26.38,26.5,26.56,26.19,26.38,26.31,26.38,26.38,26.44
2023_6_14_16_54_44,26.69,26.5,26.38,26.69,26.31,26.69,26.56,26.75,26.44,26.81,26.69,26.44,26.62,26.62,26.31,26.5,26.38,26.5,26.5,26.5
2023_6_14_16_56_8,26.81,26.56,26.38,26.81,26.38,26.75,26.69,26.81,26.5,26.94,26.75,26.56,26.69,26.69,26.31,26.56,26.44,26.56,26.62,26.56
2023_6_14_16_57_32,26.81,26.62,26.5,26.88,26.44,26.81,26.69,26.88,26.56,26.94,26.81,26.62,26.75,26.81,26.44,26.62,26.5,26.62,26.69,26.62
2023_6_14_16_58_55,26.88,26.69,26.56,26.94,26.5,26.81,26.75,26.94,26.62,27.0,26.88,26.69,26.81,26.88,26.5,26.69,26.56,26.69,26.75,26.69
2023_6_14_17_0_18,26.94,26.75,26.62,27.0,26.56,26.88,26.81,26.94,26.69,27.06,26.94,26.75,26.94,26.94,26.56,26.75,26.62,26.75,26.81,26.75
2023_6_14_17_1_42,26.94,26.81,26.69,27.0,26.62,26.94,26.81,27.0,26.75,27.06,27.0,26.81,27.0,26.94,26.62,26.81,26.69,26.75,26.88,26.81
2023_6_14_17_3_5,26.94,26.81,26.69,27.06,26.69,26.94,26.88,27.0,26.75,27.06,27.0,26.88,27.0,26.94,26.69,26.88,26.75,26.81,26.94,26.81
2023_6_14_17_4_28,26.94,26.88,26.75,27.06,26.69,26.94,26.88,27.0,26.75,27.06,27.0,26.94,27.06,27.0,26.69,26.88,26.75,26.88,26.94,26.88
2023_6_14_17_5_53,27.0,26.94,26.81,27.06,26.69,26.94,26.88,27.06,26.81,27.12,27.06,26.94,27.12,27.0,26.75,26.94,26.81,26.88,27.0,26.88
2023_6_14_17_7_15,27.0,26.94,26.81,27.12,26.75,27.0,26.94,27.06,26.81,27.06,27.06,26.94,27.12,27.0,26.75,26.94,26.81,26.88,27.0,26.94
2023_6_14_17_8_39,27.0,26.94,26.88,27.12,26.75,27.0,26.94,27.06,26.81,27.06,27.06,27.0,27.12,27.06,26.75,27.0,26.88,26.94,27.06,26.94
2023_6_14_17_10_2,27.0,27.0,26.88,27.12,26.81,27.06,26.94,27.06,26.88,27.12,27.12,27.0,27.19,27.06,26.81,27.0,26.88,26.94,27.06,26.94
2023_6_14_17_11_24,27.06,27.0,26.94,27.19,26.81,27.06,26.94,27.12,26.88,27.12,27.06,27.0,27.19,27.06,26.81,27.0,26.94,27.0,27.06,26.94
2023_6_14_17_12_48,27.0,27.0,26.94,27.12,26.88,27.06,27.0,27.12,26.88,27.12,27.06,27.0,27.19,27.06,26.81,27.0,26.88,27.0,27.06,26.94
2023_6_14_17_14_11,27.0,27.06,26.94,27.19,26.81,27.06,27.0,27.12,26.88,27.12,27.12,27.0,27.19,27.06,26.88,27.06,26.94,27.0,27.06,27.0
2023_6_14_17_15_34,27.0,27.06,27.0,27.12,26.88,27.06,27.0,27.12,26.88,27.12,27.12,27.0,27.19,27.06,26.88,27.06,26.94,27.0,27.06,27.0
2023_6_14_17_16_22,27.0,27.06,27.0,27.19,26.88,27.06,27.0,27.12,26.88,27.12,27.06,27.0,27.19,27.06,26.94,27.06,26.94,27.0,27.06,27.0
